Episodes,Emition_Date,Users,Rank,Title,Score
TV (13 eps),Apr 2013 - Jun 2013,"222,622",1781,Aku no Hana,7.14
TV (51 eps),Jan 1997 - Dec 1997,"6,443",1782,Bakusou Kyoudai Let's & Go WGP,7.14
TV (52 eps),Nov 1978 - Dec 1979,"5,057",1783,Captain Future,7.14
TV (59 eps),Jan 2013 - Mar 2014,"22,924",1784,Cardfight!! Vanguard: Link Joker-hen,7.14
TV (12 eps),Apr 2011 - Jul 2011,"1,227,417",1785,Deadman Wonderland,7.14
TV (12 eps),Jul 2009 - Sep 2009,"20,381",1786,GA: Geijutsuka Art Design Class,7.14
TV (25 eps),Oct 2012 - Apr 2013,"113,462",1787,Ixion Saga DT,7.14
TV (12 eps),Jan 2021 - Mar 2021,"11,845",1788,Show by Rock!! Stars!!,7.14
TV (13 eps),Jul 2023 - Sep 2023,"176,039",1789,Suki na Ko ga Megane wo Wasureta,7.14
TV (13 eps),Oct 2017 - Dec 2017,"21,818",1790,The iDOLM@STER SideM,7.14
TV (34 eps),Oct 1982 - Sep 1983,"9,685",1791,Tokimeki Tonight,7.14
TV (13 eps),Oct 2016 - Dec 2016,"41,741",1792,Uta no☆Prince-sama♪ Maji Love Legend Star,7.14
TV (12 eps),Oct 2023 - Dec 2023,"402,140",1793,Tate no Yuusha no Nariagari Season 3,7.13
TV (50 eps),Mar 1984 - Mar 1985,"3,080",1794,Tongari Boushi no Memole,7.13
TV (12 eps),Apr 2016 - Jun 2016,"14,243",1795,Tonkatsu DJ Agetarou,7.13
TV (23 eps),Jan 2009 - Jun 2009,"120,724",1796,Kurokami The Animation,7.13
TV (26 eps),Apr 2016 - Sep 2016,"142,164",1797,Kuromukuro,7.13
TV (12 eps),Jan 2017 - Mar 2017,"679,383",1798,Kuzu no Honkai,7.13
TV (12 eps),Jan 2024 -,"44,511",1799,Kyuujitsu no Warumono-san,7.13
TV (14 eps),Sep 2002 - Jan 2003,"32,709",1800,Mahoromatic: Motto Utsukushii Mono,7.13
TV (65 eps),Oct 1969 - Dec 1970,"6,785",1801,Muumin,7.13
TV (12 eps),Oct 2009 - Dec 2009,"263,724",1802,Nyan Koi!,7.13
TV (39 eps),May 2001 - Jan 2002,"3,971",1803,Offside (TV),7.13
TV (12 eps),Apr 2023 - Jun 2023,"129,867",1804,Otonari ni Ginga,7.13
TV (51 eps),Oct 2003 - Sep 2004,"17,470",1805,Rockman.EXE Axess,7.13
TV (12 eps),Apr 2017 - Jun 2017,"718,959",1806,Rokudenashi Majutsu Koushi to Akashic Records,7.13
TV (50 eps),Oct 2000 - Sep 2001,"3,039",1807,Shin Megami Tensei Devil Children,7.13
TV (12 eps),Apr 2009 - Jun 2009,"24,410",1808,Shinkyoku Soukai Polyphonica Crimson S,7.13
TV (26 eps),Oct 1973 - Mar 1974,"13,453",1809,Ace wo Nerae!,7.13
TV (50 eps),Sep 2010 - Sep 2011,"4,316",1810,Battle Spirits: Brave,7.13
TV (12 eps),Apr 2008 - Jun 2008,"118,092",1811,Druaga no Tou: The Aegis of Uruk,7.13
TV (24 eps),Oct 2017 - Mar 2018,"73,910",1812,Garo: Vanishing Line,7.13
TV (39 eps),Apr 1998 - Dec 1998,"2,641",1813,Grander Musashi RV,7.13
TV (25 eps),Oct 2002 - Mar 2003,"18,925",1814,Heat Guy J,7.13
TV (12 eps),Jul 2018 - Sep 2018,"60,237",1815,Angolmois: Genkou Kassenki,7.12
TV (13 eps),Jan 2014 - Mar 2014,"88,342",1816,Buddy Complex,7.12
TV (12 eps),Apr 2011 - Jul 2011,"303,841",1817,Denpa Onna to Seishun Otoko,7.12
TV (13 eps),Jan 2008 - Apr 2008,"60,581",1818,Gunslinger Girl: Il Teatrino,7.12
TV (13 eps),Mar 2004 - Jun 2004,"10,104",1819,Hi no Tori,7.12
TV (12 eps),Jan 2021 - Mar 2021,"368,719",1820,Jaku-Chara Tomozaki-kun,7.12
TV (12 eps),Oct 2018 - Dec 2018,"294,489",1821,SSSS.Gridman,7.12
TV (12 eps),Jan 2017 - Mar 2017,"130,485",1822,Urara Meirochou,7.12
TV (12 eps),Apr 2013 - Jun 2013,"167,731",1823,Kakumeiki Valvrave,7.12
TV (27 eps),Apr 1998 - Sep 1998,"33,102",1824,Lodoss-tou Senki: Eiyuu Kishi Den,7.12
TV (12 eps),Mar 2007 - May 2007,"11,311",1825,Moonlight Mile 1st Season: Lift Off,7.12
TV (13 eps),Oct 2007 - Dec 2007,"185,544",1826,Myself; Yourself,7.12
TV (52 eps),Nov 2004 - Sep 2005,"6,256",1827,Onmyou Taisenki,7.12
TV (192 eps),Nov 2002 - Sep 2006,"187,111",1828,Pokemon Advanced Generation,7.12
TV (12 eps),Jul 2022 - Sep 2022,"32,216",1829,Prima Doll,7.12
