Episodes,Emition_Date,Users,Rank,Title,Score
TV (52 eps),Jul 2006 - Jun 2007,"35,055",3272,Demashita! Powerpuff Girls Z,6.45
TV (52 eps),Oct 2012 - Sep 2013,"9,112",3273,Juusen Battle Monsuno,6.45
TV (12 eps),Jan 2021 - Mar 2021,"41,102",3274,Skate-Leading☆Stars,6.45
TV (143 eps),Oct 2009 - Sep 2012,"1,671",3275,Tamagotchi!,6.45
TV (12 eps),Jan 2015 - Mar 2015,"9,225",3276,Tantei Kageki Milky Holmes TD,6.45
TV (12 eps),Jan 2021 - Mar 2021,"11,708",3277,World Witches Hasshin Shimasu!,6.45
TV (26 eps),Jan 2005 - Dec 2006,"1,136",3278,The World of Golden Eggs,6.44
TV (61 eps),Oct 1975 - Dec 1976,"2,734",3279,Time Bokan,6.44
TV (12 eps),Oct 2018 - Dec 2018,"868,382",3280,Tokyo Ghoul:re 2nd Season,6.44
TV (12 eps),Jan 2013 - Mar 2013,"66,396",3281,Vividred Operation,6.44
TV (12 eps),Jul 2009 - Sep 2009,"25,623",3282,Yoku Wakaru Gendai Mahou,6.44
TV (52 eps),Oct 1978 - Sep 1979,"2,484",3283,Kagaku Ninja-tai Gatchaman II,6.44
TV (12 eps),Oct 2016 - Dec 2016,"30,572",3284,Kiitarou Shounen no Youkai Enikki,6.44
TV (12 eps),Apr 2019 - Jul 2019,"5,825",3285,King of Prism: Shiny Seven Stars,6.44
TV (26 eps),Oct 1986 - Mar 1987,"1,479",3286,Oh! Family,6.44
TV (12 eps),Oct 2020 - Dec 2020,"34,641",3287,One Room: Third Season,6.44
TV (13 eps),Jan 2020 - Mar 2020,"93,359",3288,Pet,6.44
TV (12 eps),Jul 2023 - Sep 2023,"62,007",3289,Ryza no Atelier: Tokoyami no Joou to Himitsu no Kakurega,6.44
TV (52 eps),Oct 1982 - Sep 1983,"3,654",3290,Shin Mitsubachi Maya no Bouken,6.44
TV (12 eps),Jul 2005 - Sep 2005,"74,785",3291,Amaenaide yo!!,6.44
TV (52 eps),Apr 1992 - Apr 1993,"2,272",3292,Ashita e Free Kick,6.44
TV (12 eps),Jul 2023 - Sep 2023,"40,387",3293,Ayaka,6.44
TV (52 eps),Apr 2007 - Mar 2008,"107,295",3294,Bakugan Battle Brawlers,6.44
TV (13 eps),Oct 2003 - Dec 2003,"19,136",3295,Binzume Yousei,6.44
TV (51 eps),Oct 2012 - Sep 2013,"5,576",3296,Chousoku Henkei Gyrozetter,6.44
TV (12 eps),Jan 2018 - Mar 2018,"511,335",3297,Citrus,6.44
TV (67 eps),Apr 2020 - Sep 2021,"56,325",3298,Digimon Adventure:,6.44
TV (12 eps),Apr 2020 - Dec 2020,"32,383",3299,Gal to Kyouryuu,6.44
TV (25 eps),Apr 1997 - Sep 1997,"2,779",3300,Hareluya II Boy,6.44
TV (12 eps),Apr 2023 - Jun 2023,"124,080",3301,Isekai wa Smartphone to Tomo ni. 2,6.44
TV (12 eps),Apr 2013 - Jul 2013,"72,337",3302,Arata Kangatari,6.43
TV (53 eps),Apr 2002 - Dec 2002,"1,009",3303,Baby Baachan,6.43
TV (18 eps),Jan 1999 - Sep 1999,"1,502",3304,Bakukyuu Renpatsu!! Super B-Daman,6.43
TV (22 eps),Oct 2015 - Mar 2016,"4,703",3305,Brave Beats,6.43
TV (13 eps),May 2001 - Aug 2001,"5,934",3306,Chance Triangle Session,6.43
TV (13 eps),Jan 2004 - Mar 2004,"7,654",3307,Divergence Eve 2: Misaki Chronicles,6.43
TV (12 eps),Apr 2014 - Jun 2014,"62,760",3308,Escha & Logy no Atelier: Tasogare no Sora no Renkinjutsushi,6.43
TV (13 eps),Oct 2004 - Dec 2004,"35,290",3309,Futakoi,6.43
TV (25 eps),Apr 2012 - Sep 2012,"7,351",3310,Gakkatsu!,6.43
TV (39 eps),Oct 1998 - Jun 1999,"9,780",3311,Jikuu Tantei Genshi-kun,6.43
TV (13 eps),Oct 2004 - Dec 2004,"9,587",3312,To Heart: Remember My Memories,6.43
TV (73 eps),Oct 1979 - Feb 1981,"1,196",3313,Toushi Gordian,6.43
TV (12 eps),Apr 2017 - Jun 2017,"82,225",3314,Kenka Banchou Otome: Girl Beats Boys,6.43
TV (25 eps),Apr 2018 - Sep 2018,"2,571",3315,Koneko no Chi: Ponponra Dairyokou,6.43
TV (27 eps),Jul 1999 - Oct 1999,"11,546",3316,Nekojiru Gekijou Jirujiru Original,6.43
TV (12 eps),Oct 2012 - Dec 2012,"301,600",3317,Oniichan dakedo Ai sae Areba Kankeinai yo ne!,6.43
TV (12 eps),Oct 2014 - Dec 2014,"158,914",3318,"Ore, Twintail ni Narimasu.",6.43
TV (50 eps),Oct 1976 - Sep 1977,"1,156",3319,Paul no Miracle Daisakusen,6.43
TV (26 eps),Apr 2018 - Sep 2018,"254,595",3320,Persona 5 the Animation,6.43
TV (24 eps),Jun 2012 - Jan 2013,"69,188",3321,Pokemon Best Wishes! Season 2,6.43
TV (12 eps),Oct 2007 - Dec 2007,"22,533",3322,Prism Ark,6.43
TV (12 eps),Apr 2023 - Jun 2023,"46,884",3323,Rokudou no Onna-tachi,6.43
TV (12 eps),Oct 2019 - Dec 2019,"11,736",3324,Shin Chuuka Ichiban!,6.43
TV (52 eps),Oct 2017 - Dec 2018,"1,031",3325,Shining Star,6.43
TV (37 eps),Apr 1991 - Dec 1991,"1,479",3326,Kikou Keisatsu Metal Jack,6.42
TV (12 eps),Jul 2008 - Sep 2008,"5,963",3327,Mission-E,6.42
TV (12 eps),Jul 2018 - Sep 2018,"47,911",3328,Phantom in the Twilight,6.42
TV (26 eps),Oct 2018 - Mar 2019,"10,156",3329,Pingu in the City (2018),6.42
TV (84 eps),Sep 2010 - Jun 2012,"102,232",3330,Pokemon Best Wishes!,6.42
TV (26 eps),Jul 1983 - Dec 1983,"1,454",3331,Psychoarmor Govarian,6.42
TV (12 eps),Jul 2011 - Sep 2011,"90,487",3332,R-15,6.42
TV (12 eps),Apr 2014 - Jun 2014,"221,659",3333,Seikoku no Dragonar,6.42
TV (26 eps),Apr 2012 - Sep 2012,"24,748",3334,Sengoku Collection,6.42
TV (12 eps),Jan 2015 - Mar 2015,"550,308",3335,Absolute Duo,6.42
TV (12 eps),Oct 2018 - Dec 2018,"36,510",3336,Akanesasu Shoujo,6.42
TV (44 eps),Sep 1977 - Aug 1978,"2,224",3337,Arrow Emblem Grand Prix no Taka,6.42
TV (50 eps),Feb 1999 - Jan 2000,"2,102",3338,Bomberman B-Daman Bakugaiden Victory,6.42
TV (12 eps),Jul 2017 - Sep 2017,"92,528",3339,Centaur no Nayami,6.42
TV (26 eps),Oct 2009 - Mar 2010,"3,490",3340,Cheburashka Arere?,6.42
TV (25 eps),Oct 2016 - Apr 2017,"26,461",3341,ClassicaLoid,6.42
TV (11 eps),Oct 2013 - Dec 2013,"53,157",3342,Galilei Donna,6.42
TV (25 eps),Jul 2013 - Dec 2013,"8,097",3343,Gifuu Doudou!!: Kanetsugu to Keiji,6.42
TV (13 eps),Nov 2004 - Feb 2005,"13,076",3344,Ginyuu Mokushiroku Meine Liebe,6.42
TV (52 eps),Apr 2001 - Mar 2002,692,3345,Gyouten Ningen Batsealer,6.42
TV (61 eps),Jul 1997 - Sep 1998,"1,516",3346,Hare Tokidoki Buta (TV),6.42
TV (12 eps),Jan 2024 -,"68,101",3347,"Sokushi Cheat ga Saikyou sugite, Isekai no Yatsura ga Marude Aite ni Naranai n desu ga.",6.42
TV (12 eps),Jan 2018 - Mar 2018,"46,802",3348,Takunomi.,6.42
TV (36 eps),Apr 2019 - Dec 2019,"3,629",3349,Youkai Watch!,6.42
TV (12 eps),Apr 2006 - Jun 2006,"9,228",3350,Yume Tsukai,6.42
TV (26 eps),Apr 2001 - Sep 2001,"24,928",3351,Sister Princess,6.41
TV (13 eps),Jan 2006 - Apr 2006,"10,347",3352,Tactical Roar,6.41
TV (50 eps),Apr 1979 - Mar 1980,"3,520",3353,The☆Ultraman,6.41
TV (73 eps),Apr 2011 - Sep 2012,"77,216",3354,Yu☆Gi☆Oh! Zexal,6.41
TV (13 eps),Apr 2016 - Jun 2016,"18,950",3355,Kagewani: Shou,6.41
TV (12 eps),Apr 2014 - Jun 2014,"26,890",3356,Kiniro no Corda: Blue♪Sky,6.41
TV (12 eps),Oct 2018 - Dec 2018,"22,382",3357,Kitsune no Koe,6.41
TV (49 eps),Sep 2013 - Sep 2014,"2,053",3358,Saikyou Ginga Ultimate Zero: Battle Spirits,6.41
TV (50 eps),Apr 1992 - Mar 1993,"1,137",3359,Salad Juu Yuushi Tomatoman,6.41
TV (59 eps),Aug 1964 - Sep 1965,"1,302",3360,Big X,6.41
TV (25 eps),Oct 1973 - Mar 1974,"16,810",3361,Cutie Honey,6.41
TV (25 eps),Oct 2011 - Mar 2012,"26,516",3362,Digimon Xros Wars: Toki wo Kakeru Shounen Hunter-tachi,6.41
TV (12 eps),Apr 2021 - Jun 2021,"59,716",3363,"Dragon, Ie wo Kau.",6.41
TV (50 eps),Apr 2001 - Mar 2002,"1,022",3364,Go! Go! Itsutsugo Land,6.41
TV (11 eps),Jul 2018 - Sep 2018,"3,756",3365,Hataraku Oniisan! no 2!,6.41
TV (26 eps),Aug 1994 - Mar 1995,"1,986",3366,Huckleberry Finn Monogatari,6.41
TV (12 eps),Oct 2017 - Dec 2017,"8,720",3367,Infini-T Force,6.41
TV (12 eps),Apr 2016 - Jun 2016,"34,801",3368,12-sai.: Chicchana Mune no Tokimeki,6.40
TV (13 eps),Apr 2000 - Jul 2000,"23,492",3369,Boys Be...,6.40
TV (25 eps),Apr 2014 - Sep 2014,"66,971",3370,Captain Earth,6.40
TV (47 eps),Apr 1992 - Mar 1993,"1,329",3371,Chou Dendou Robo Tetsujin 28-gou FX,6.40
TV (12 eps),Jul 2007 - Sep 2007,"18,308",3372,Code-E,6.40
TV (24 eps),Oct 1983 - Mar 1984,"3,507",3373,Fushigi no Kuni no Alice,6.40
TV (39 eps),Apr 1996 - Jan 1997,896,3374,Hajime Ningen Gon,6.40
TV (12 eps),Apr 2015 - Jun 2015,"14,791",3375,Takamiya Nasuno desu! Teekyuu Spin-off,6.40
TV (12 eps),Jul 2019 - Sep 2019,"273,816",3376,Tejina-senpai,6.40
TV (40 eps),Sep 1971 - Jun 1972,"1,318",3377,Tensai Bakabon,6.40
TV (13 eps),Jul 2021 - Dec 2021,"7,361",3378,Tsukipro The Animation 2,6.40
TV (27 eps),Apr 1972 - Sep 1972,"2,261",3379,Umi no Triton,6.40
TV (12 eps),Jul 2017 - Sep 2017,"47,030",3380,Vatican Kiseki Chousakan,6.40
TV (26 eps),Apr 2003 - Oct 2003,688,3381,Kasumin 3rd Season,6.40
TV (12 eps),Jul 2019 - Sep 2019,"133,520",3382,Katsute Kami Datta Kemono-tachi e,6.40
TV (51 eps),Oct 1996 - Sep 1997,"1,381",3383,Kiko-chan Smile,6.40
TV (13 eps),Apr 2020 - Jul 2020,"4,598",3384,Komatta Jiisan,6.40
TV (26 eps),Apr 1969 - Sep 1969,"2,235",3385,Kurenai Sanshirou,6.40
TV (20 eps),Jul 2013 - Dec 2013,"1,501",3386,Lovely Movie: Itoshi no Muco,6.40
TV (48 eps),Nov 1970 - Sep 1971,"2,066",3387,Mahou no Mako-chan,6.40
TV (13 eps),Jul 2005 - Sep 2005,"9,902",3388,Okusama wa Mahou Shoujo,6.40
TV (12 eps),Jan 2024 -,"57,425",3389,Oroka na Tenshi wa Akuma to Odoru,6.40
TV (56 eps),Feb 1966 - Mar 1967,"3,709",3390,Osomatsu-kun,6.40
TV (12 eps),Oct 2004 - Dec 2004,"4,782",3391,Ring ni Kakero 1,6.40
TV (26 eps),Apr 1971 - Sep 1971,"2,073",3392,Sasurai no Taiyou,6.40
TV (12 eps),Jan 2007 - Mar 2007,"43,100",3393,Kyoushirou to Towa no Sora,6.39
TV (12 eps),Jan 2003 - Mar 2003,"4,985",3394,L/R: Licensed by Royal,6.39
TV (12 eps),Apr 2022 - Jul 2022,"151,908",3395,Mahoutsukai Reimeiki,6.39
TV (24 eps),Oct 1999 - Apr 2000,"2,370",3396,Mirai Shounen Conan 2: Taiga Daibouken,6.39
TV (12 eps),Jul 2007 - Sep 2007,"28,499",3397,Moetan,6.39
TV (12 eps),Jan 2024 -,"29,765",3398,Momochi-san Chi no Ayakashi Ouji,6.39
TV (12 eps),Jul 2014 - Sep 2014,"210,150",3399,Rail Wars!,6.39
TV (26 eps),Apr 1995 - Sep 1995,"1,066",3400,Sekai Meisaku Douwa: Wow! Maerchen Oukoku,6.39
TV (12 eps),Oct 2008 - Dec 2008,"151,321",3401,Akaneiro ni Somaru Saka,6.39
TV (51 eps),Apr 2007 - Mar 2008,"54,319",3402,Blue Dragon,6.39
TV (12 eps),Oct 2021 - Dec 2021,"54,665",3403,Build Divide: Code Black,6.39
TV (35 eps),Feb 1999 - Sep 1999,"2,769",3404,Chou Seimeitai Transformers Beast Wars Neo,6.39
TV (31 eps),Jul 1977 - Mar 1978,"1,118",3405,Choujin Sentai Baratack,6.39
TV (103 eps),Oct 1975 - Sep 1977,"1,189",3406,Ganso Tensai Bakabon,6.39
TV (13 eps),Jul 2007 - Sep 2007,"1,876",3407,Happy Happy Clover,6.39
TV (13 eps),Oct 2005 - Dec 2005,"5,698",3408,Happy Seven: The TV Manga,6.39
TV (13 eps),1986 - 1987,614,3409,Hulu Xiongdi,6.39
TV (13 eps),Jul 2003 - Oct 2003,"162,882",3410,Ikkitousen,6.39
TV (12 eps),Jan 2023 - Mar 2023,"140,328",3411,Spy Kyoushitsu,6.39
TV (12 eps),Jul 2021 - Sep 2021,"362,227",3412,"Tantei wa Mou, Shindeiru.",6.39
TV (12 eps),Oct 2023 - Dec 2023,"60,194",3413,Toaru Ossan no VRMMO Katsudouki,6.39
TV (35 eps),Jul 1987 - Mar 1988,"4,344",3414,Transformers: The☆Headmasters,6.39
TV (12 eps),Jan 2021 - Mar 2021,"14,515",3415,Yatogame-chan Kansatsu Nikki Sansatsume,6.39
TV (52 eps),Apr 2014 - Mar 2015,"5,087",3416,Tenkai Knights,6.38
TV (52 eps),Feb 1981 - Feb 1982,"2,179",3417,Time Bokan Series: Yattodetaman,6.38
TV (26 eps),Oct 2004 - Apr 2005,"11,269",3418,Zoids Fuzors,6.38
TV (52 eps),Oct 1991 - Nov 1991,"1,248",3419,Reporter Blues,6.38
TV (? eps),Apr 2016 -,"3,108",3420,Bonobono (TV 2016),6.38
TV (23 eps),Oct 1997 - Mar 1998,"1,639",3421,Ganbare Goemon,6.38
TV (22 eps),Oct 1971 - Mar 1972,"2,439",3422,Genshi Shounen Ryuu,6.38
TV (12 eps),Apr 2018 - Jun 2018,"11,901",3423,Gurazeni,6.38
TV (140 eps),Oct 2000 - Mar 2001,"1,094",3424,Hamster Club,6.38
TV (4 eps),Oct 2018 - Oct 2018,"12,438",3425,Hashiri Tsuzukete Yokatta tte.,6.38
TV (10 eps),Jan 2023 - Mar 2023,"42,619",3426,Hikari no Ou,6.38
TV (26 eps),Apr 2004 - Jul 2004,"1,537",3427,Jagainu-kun,6.38
TV (12 eps),Oct 2017 - Dec 2017,"76,684",3428,Animegataris,6.37
TV (51 eps),Jan 2005 - Dec 2005,"5,162",3429,B-Legend! Battle B-Daman Fire Spirits!,6.37
TV (52 eps),Jun 2010 - Jun 2014,"2,022",3430,Chao Zhi Neng Zu Qiu,6.37
TV (38 eps),Oct 1996 - Jun 1997,"2,523",3431,Chouja Raideen,6.37
TV (13 eps),Oct 2002 - Dec 2002,"13,910",3432,Choujuushin Gravion,6.37
TV (12 eps),Apr 2017 - Jun 2017,"33,177",3433,Frame Arms Girl,6.37
TV (11 eps),Jul 2004 - Sep 2004,"148,389",3434,Girls Bravo: First Season,6.37
TV (12 eps),Jan 2018 - Mar 2018,"8,535",3435,Hataraku Oniisan!,6.37
TV (12 eps),Apr 2018 - Jun 2018,"1,166,779",3436,Tokyo Ghoul:re,6.37
TV (12 eps),Apr 2011 - Jun 2011,"3,200",3437,Tono to Issho: Gantai no Yabou,6.37
TV (13 eps),Apr 2018 - Jun 2018,"28,139",3438,Uchuu Senkan Tiramisù,6.37
TV (13 eps),Jul 2012 - Sep 2012,"5,188",3439,Yurumates 3D Plus,6.37
TV (13 eps),Oct 2015 - Dec 2015,"32,930",3440,Kagewani,6.37
TV (12 eps),Apr 2008 - Jun 2008,"248,681",3441,Kanokon,6.37
TV (12 eps),Oct 2009 - Dec 2009,"286,702",3442,Kämpfer,6.37
TV (12 eps),Jan 2015 - Mar 2015,"5,199",3443,Ketsuekigata-kun! 2,6.37
TV (49 eps),Feb 2007 - Jan 2008,"26,295",3444,Kodai Ouja Kyouryuu King,6.37
TV (114 eps),Jan 2013 - Oct 2013,"2,095",3445,Line Offline: Salaryman,6.37
TV (39 eps),Apr 1972 - Dec 1972,961,3446,Mahoutsukai Chappy,6.37
TV (13 eps),Oct 2013 - Dec 2013,"49,614",3447,Miss Monochrome The Animation,6.37
TV (26 eps),Oct 1979 - Apr 1980,"1,791",3448,Sasurai no Shoujo Nell,6.37
TV (41 eps),Apr 2021 - Mar 2022,"1,434",3449,Shinkansen Henkei Robo Shinkalion Z the Animation,6.37
TV (13 eps),Apr 2014 - Jun 2014,"194,462",3450,Kanojo ga Flag wo Oraretara,6.36
TV (12 eps),Apr 2022 - Jun 2022,"56,911",3451,"Kono Healer, Mendokusai",6.36
TV (12 eps),Apr 2018 - Jun 2018,"38,697",3452,Last Period: Owarinaki Rasen no Monogatari,6.36
TV (4 eps),Aug 2003 - Aug 2003,"4,098",3453,Massugu ni Ikou.,6.36
TV (25 eps),Apr 2020 - Nov 2020,"1,016",3454,Motto! Majime ni Fumajime Kaiketsu Zorori,6.36
TV (? eps),Oct 1998 -,"2,045",3455,Ojarumaru,6.36
TV (24 eps),Jan 2022 - Jun 2022,"58,934",3456,Baraou no Souretsu,6.36
TV (43 eps),Apr 1998 - Jan 1999,"2,854",3457,Beast Wars Second Chou Seimeitai Transformers,6.36
TV (12 eps),Oct 2019 - Dec 2019,"265,668",3458,Choujin Koukousei-tachi wa Isekai demo Yoyuu de Ikinuku you desu!,6.36
TV (12 eps),Jan 1997 - Mar 1997,"11,753",3459,Eat-Man,6.36
TV (12 eps),Apr 2018 - Jun 2018,"42,583",3460,Fumikiri Jikan,6.36
TV (47 eps),Jun 2018 - Apr 2019,"3,231",3461,Future Card Shin Buddyfight,6.36
TV (13 eps),Jan 2003 - Mar 2003,"2,188",3462,Garakuta-doori no Stain,6.36
TV (36 eps),Apr 1976 - Dec 1976,975,3463,Gowapper 5 Gordam,6.36
TV (13 eps),Oct 2015 - Dec 2015,"51,320",3464,Hacka Doll The Animation,6.36
TV (12 eps),Oct 2006 - Dec 2006,"36,281",3465,Happiness!,6.36
TV (26 eps),Apr 1974 - Sep 1974,846,3466,Hoshi no Ko Chobin,6.36
TV (13 eps),Jul 2000 - Sep 2000,"5,852",3467,Strange Dawn,6.36
TV (12 eps),Jan 2020 - Mar 2020,"19,227",3468,Yatogame-chan Kansatsu Nikki Nisatsume,6.36
TV (12 eps),Jan 2022 - Apr 2022,"66,381",3469,Tokyo 24-ku,6.35
TV (25 eps),Oct 1995 - Mar 1996,"1,179",3470,Touma Kishinden Oni,6.35
TV (52 eps),Mar 1982 - Mar 1983,"2,692",3471,Kikou Kantai Dairugger XV,6.35
TV (40 eps),Mar 2009 - Mar 2010,"4,614",3472,Marie & Gali,6.35
TV (36 eps),Apr 2017 - Dec 2017,"3,454",3473,PriPri Chii-chan!!,6.35
TV (12 eps),Jul 2022 - Sep 2022,"104,267",3474,RWBY: Hyousetsu Teikoku,6.35
TV (12 eps),Oct 2019 - Dec 2019,"47,886",3475,Fairy Gone Part 2,6.35
TV (12 eps),Jan 2023 - Mar 2023,"150,521",3476,Hyouken no Majutsushi ga Sekai wo Suberu,6.35
TV (13 eps),Apr 2023 - Jun 2023,"272,921",3477,"Isekai de Cheat Skill wo Te ni Shita Ore wa, Genjitsu Sekai wo mo Musou Suru: Level Up wa Jinsei wo Kaeta",6.35
TV (12 eps),Apr 2023 - Jun 2023,"93,583",3478,Isekai One Turn Kill Neesan: Ane Douhan no Isekai Seikatsu Hajimemashita,6.35
TV (23 eps),Apr 1977 - Sep 1977,"2,364",3479,Ashita e Attack!,6.34
TV (50 eps),Sep 2008 - Sep 2009,"3,711",3480,Battle Spirits: Shounen Toppa Bashin,6.34
TV (40 eps),Dec 2005 - Sep 2006,"4,952",3481,D.I.C.E.,6.34
TV (12 eps),Apr 2017 - Jun 2017,"713,701",3482,Eromanga-sensei,6.34
TV (77 eps),Oct 1974 - Mar 1976,905,3483,Hajime Ningen Gyatoruz,6.34
TV (36 eps),Oct 1983 - Jul 1984,"1,609",3484,Tokusou Kihei Dorvack,6.34
TV (12 eps),Jan 2007 - Mar 2007,"29,837",3485,Venus Versus Virus,6.34
TV (26 eps),Jul 2005 - 2009,709,3486,Weiqi Shaonian,6.34
TV (530 eps),Aug 2005 - 2008,912,3487,Xi Yangyang Yu Hui Tailang,6.34
TV (13 eps),Jan 2016 - Apr 2016,"37,634",3488,Yami Shibai 3,6.34
TV (16 eps),Nov 1998 - Dec 1998,"7,648",3489,Yume de Aetara (TV),6.34
TV (110 eps),Feb 1989 - Apr 1991,525,3490,Manga Hajimete Omoshiro Juku,6.34
TV (12 eps),Jan 2000 - Mar 2000,"22,321",3491,Megami Kouhosei,6.34
TV (12 eps),Jan 2017 - Mar 2017,"21,399",3492,Minami Kamakura Koukou Joshi Jitensha-bu,6.34
TV (22 eps),Apr 1980 - Sep 1980,"1,064",3493,Moero Arthur: Hakuba no Ouji,6.34
TV (6 eps),Oct 2017 - Nov 2017,"12,584",3494,RoboMasters the Animated Series,6.34
TV (64 eps),Oct 1981 - Dec 1982,"2,785",3495,Rokushin Gattai GodMars,6.34
TV (24 eps),Jan 2010 - Jun 2010,"327,342",3496,Seikon no Qwaser,6.34
TV (12 eps),Jan 2022 - Mar 2022,"119,581",3497,Kenja no Deshi wo Nanoru Kenja,6.33
TV (12 eps),Jan 2019 - Mar 2019,"83,796",3498,Mahou Shoujo Tokushusen Asuka,6.33
TV (12 eps),Jan 2023 - Mar 2023,"157,285",3499,Ningen Fushin no Boukensha-tachi ga Sekai wo Sukuu you desu,6.33
TV (26 eps),Sep 2016 - Mar 2017,"6,524",3500,Nyanbo!,6.33
TV (12 eps),Jan 2024 -,"21,373",3501,Pon no Michi,6.33
TV (26 eps),Jun 1989 - Dec 1989,918,3502,AIUEO Anime Sekai no Douwa: Aesop Monogatari Anime Series,6.33
TV (24 eps),Jan 2021 - Jun 2021,"40,334",3503,Back Arrow,6.33
TV (16 eps),Jan 2020 - May 2020,"10,543",3504,Breakers,6.33
TV (14 eps),May 2019 - Aug 2019,"6,109",3505,Cardfight!! Vanguard: Zoku Koukousei-hen,6.33
TV (51 eps),Apr 2009 - Mar 2010,"8,316",3506,Gokujou!! Mecha Mote Iinchou,6.33
TV (12 eps),Jan 2016 - Mar 2016,"92,048",3507,HaruChika: Haruta to Chika wa Seishun suru,6.33
TV (12 eps),Jul 2019 - Sep 2019,"3,164",3508,Hensuki▽,6.33
TV (12 eps),Apr 2006 - Jul 2006,"2,791",3509,Himesama Goyoujin,6.33
TV (12 eps),Jan 2021 - Mar 2021,"277,527",3510,Tatoeba Last Dungeon Mae no Mura no Shounen ga Joban no Machi de Kurasu Youna Monogatari,6.33
TV (13 eps),Apr 2001 - Jul 2001,"26,731",3511,The SoulTaker: Tamashii-gari,6.33
TV (12 eps),Jul 2020 - Sep 2020,"16,682",3512,Umayon,6.33
TV (22 eps),Oct 1985 - Mar 1986,"1,455",3513,Shouwa Ahozoushi Akanuke Ichiban!,6.32
TV (12 eps),Jul 2022 - Sep 2022,"196,478",3514,"Tensei Kenja no Isekai Life: Dai-2 no Shokugyou wo Ete, Sekai Saikyou ni Narimashita",6.32
TV (10 eps),Apr 2015 - Jun 2015,"162,871",3515,Triage X,6.32
TV (24 eps),Apr 2018 - Sep 2018,"1,969",3516,TV Yarou Nanaana,6.32
TV (12 eps),Apr 2011 - Jun 2011,"27,401",3517,X-Men,6.32
TV (12 eps),Jan 2005 - Mar 2005,"20,589",3518,Xenosaga The Animation,6.32
TV (13 eps),Jul 2017 - Oct 2017,"26,765",3519,Yami Shibai 5,6.32
TV (98 eps),Apr 2021 - Mar 2023,"2,419",3520,Youkai Watch ♪,6.32
TV (13 eps),Oct 2021 - Dec 2021,"32,269",3521,Kyoukai Senki,6.32
TV (12 eps),Jul 2023 - Sep 2023,"134,283",3522,Liar Liar,6.32
TV (12 eps),Oct 2011 - Dec 2011,"291,346",3523,Maken-Ki!,6.32
TV (12 eps),Jan 2014 - Mar 2014,"118,836",3524,Oneechan ga Kita,6.32
TV (52 eps),Mar 1981 - Feb 1982,"1,338",3525,Ougon Senshi Gold Lightan,6.32
TV (26 eps),Jul 2002 - Dec 2002,"5,507",3526,Rikujou Bouei-tai Mao-chan,6.32
TV (26 eps),Oct 1971 - Mar 1972,"1,130",3527,Sarutobi Ecchan,6.32
TV (12 eps),Jul 2016 - Sep 2016,"20,699",3528,Active Raid: Kidou Kyoushuushitsu Dai Hachi Gakari 2nd,6.32
TV (52 eps),Apr 1972 - Mar 1973,919,3529,Akadou Suzunosuke,6.32
TV (39 eps),Apr 2011 - Jan 2012,"48,559",3530,Bakugan Battle Brawlers: Gundalian Invaders,6.32
TV (39 eps),Oct 2005 - Jul 2006,"1,906",3531,Card Wang: Mix Master,6.32
TV (20 eps),Oct 2023 -,"5,448",3532,Dog Signal,6.32
TV (37 eps),Dec 1998 - Jan 2008,"2,866",3533,Domo-kun,6.32
TV (25 eps),Jan 2013 - Sep 2013,"2,016",3534,Gakkatsu! 2nd Season,6.32
TV (13 eps),Apr 2006 - Jul 2006,"24,432",3535,Himawari!,6.32
TV (26 eps),Apr 1995 - Sep 1995,"2,296",3536,Juusenshi Gulkeeva,6.32
TV (26 eps),Mar 2018 - Sep 2018,"39,452",3537,Juushinki Pandora,6.32
TV (12 eps),Dec 2007 - Feb 2008,"29,201",3538,Ayakashi,6.31
TV (12 eps),Jul 2016 - Sep 2016,"357,344",3539,Berserk,6.31
TV (12 eps),Jan 2017 - Mar 2017,"131,912",3540,ChäoS;Child,6.31
TV (26 eps),Oct 1993 - Mar 1994,"3,037",3541,Daisuki! Hello Kitty,6.31
TV (49 eps),Oct 1986 - Oct 1987,588,3542,Dorimogu Daa!!,6.31
TV (12 eps),Oct 2021 - Dec 2021,"21,010",3543,Gyakuten Sekai no Denchi Shoujo,6.31
TV (12 eps),Apr 2016 - Jun 2016,"367,287",3544,Hundred,6.31
TV (12 eps),Jul 2018 - Sep 2018,"131,331",3545,Island (TV),6.31
TV (12 eps),Jan 2016 - Mar 2016,"118,401",3546,Shoujo-tachi wa Kouya wo Mezasu,6.31
TV (13 eps),Oct 2002 - Dec 2002,"9,433",3547,Sister Princess: Re Pure,6.31
TV (13 eps),Apr 2013 - Jul 2013,"28,407",3548,Zettai Bouei Leviathan,6.31
TV (8 eps),Nov 2022 - Mar 2023,"51,910",3549,KanColle: Itsuka Ano Umi de,6.31
TV (12 eps),Apr 2016 - Jun 2016,"74,810",3550,Kuma Miko,6.31
TV (12 eps),Jul 2015 - Sep 2015,"255,225",3551,Kuusen Madoushi Kouhosei no Kyoukan,6.31
TV (47 eps),Jul 1986 - May 1987,"2,208",3552,Machine Robo: Cronos no Dai Gyakushuu,6.31
TV (13 eps),Jan 2006 - Apr 2006,"34,897",3553,Magikano,6.31
TV (12 eps),Oct 2018 - Dec 2018,"44,192",3554,Senran Kagura Shinovi Master: Tokyo Youma-hen,6.31
